,Name,# Repositories,Average stars score
157,davidtmiller,6,5.83
35,rafaelfranca,144,5.74
79,michalbe,146,5.7
22,kytrinyx,112,5.7
176,laanwj,116,5.5
224,joyeecheung,88,5.16
2,taylorotwell,8,4.5
144,ashleygwilliams,325,4.3
25,weierophinney,251,3.47
199,suissa,642,3.4
1,andrew,304,3.25
38,stof,449,3.2
10,mikermcneil,201,3.07
206,fengmk2,196,2.81
197,nfultz,80,2.59
7,nelsonic,265,1.68
247,jiyinyiyong,162,1.38
48,sevilayha,40,0.62
58,dmalan,27,0.48
178,thejameskyle,0,0.0
98,0x00A,8,0.0
